"AutorPrincipal","ListaCitacoes"
"Adilson Vahldick","VAHLDICK, A.;VAHLDICK, ADILSON"
"Angela Maria Blatt Ortiga","ORTIGA,A.M.B;ORTIGA, ÂNGELA MARIA BLATT;ORTIGA, ANGELA MARIA BLATT"
"Carlos Alberto Barth","BARTH, Carlos Alberto"
"Caroline Sulzbach Pletsch","PLETSCH, C. S.;PLETSCH, CAROLINE SULZBACH;PLETSCH, C.S.;PLETSCH, CAROLINE"
"Diego Rafael Stüpp","STÜPP, D. R.;STÜPP, DIEGO RAFAEL;STUPP, DIEGO RAFAEL"
"Dinorá Baldo de Faveri","BALDO, D.;BALDO, DINORA;FAVERI, DINORÁ BALDO DE;FAVERI, DINORA;FAVERI, D;DE FAVERI, D;FAVERI, DINORÁ DE;DE FAVERI, DINORÁ;DE FAVERI, DINORÁ BALDO"
"Eduardo Müller dos Santos","MÜLLER DOS SANTOS, E.;E.M. dos Santos;DOS SANTOS, EDUARDO M.     "
"Fernando dos Santos","SANTOS, F. dos;dos SANTOS, F.;SANTOS, F.;SANTOS, FERNANDO"
"Fernando Scheeffer","SCHEEFFER, F.;SCHEEFFER, FERNANDO"
"Gabriele Vanessa Tschöke","TSCHOKE, G. V.;TSCHÖKE, GABRIELE VANESSA"
"Geraldo Menegazzo Varela","VARELA, G. M.;VARELA, GERALDO"
"Helenne Jungblut Geissler"," GEISSLER, H. J.; GEISSLER, H. J"
"Ilda Valentim","VALENTIM, I.;VALENTIM, Ilda"
"Jaison Ademir Sevegnani","SEVEGNANI, J. A."
"João Marcos Bosi Mendonça de Moura","MENDONÇA DE MOURA, J. M. B.;MOURA, J. M. B. M.;MOURA, J.M.B.M.;BOSI MENDONÇA DE MOURA, JOÃO MARCOS"
"Lara Fabiana Dallabona","DALLABONA, L. F.;DALLABONA, LARA FABIANA"
"Luciano André Deitos Koslowski","KOSLOWSKI, L. A. D.;KOSLOWSKI, LUCIANO ANDRÉ DEITOS;KOSLOWSKI, L. A. D;KOSLOWSKI, LUCIANO ANDRÉ;KOSLOWSKI L, L. A. D.;DEITOS KOSLOWSKI, LUCIANO ANDRÉ;KOSLOWSKI, LUCIANO ANDRE DEITOS"
"Marcelo de Souza","SOUZA, M.;DE SOUZA, M.;SOUZA, M. de;DE SOUZA, MARCELO;SOUZA, MARCELO DE;SOUZA, MARCELO;SOUZA, Marcelo;SOUZA, Marcelo de;DE SOUZA, Marcelo;SOUZA, M. DE"
"Márcio José Mantau","MANTAU, M. J.;MANTAU, MARCIO JOSÉ;MANTAU, MARCIO JOSE;MANTAU, MÁRCIO J.;MANTAU, MÁRCIO J;MANTAU, MÁRCIO JOSÉ"
"Marilei Kroetz","KROETZ, M."
"Marília Guterres Ferreira","FERREIRA, M. G.;FERREIRA, MARILIA GUTERRES;FERREIRA, MARÍLIA GUTERRES"
"Marines Lucia Boff","BOFF, Marines Lucia.;BOFF, MARINES LUCIA"
"Marino Luiz Eyerkaufer","EYERKAUFER, M. L.;EYERKAUFER, MARINO LUIZ"
"Mattheus da Hora França","FRANÇA, M. H.;FRANÇA, MATHEUS DA HORA"
"Michael Renê Mix Visintainer","VISINTAINER, M. R. M.;VISINTAINER, MICHAEL RENÊ MIX"
"Osvaldo André Furlaneto Rodrigues","RODRIGUES, O. A. F."
"Pablo Schoeffel","SCHOEFFEL, P.;SCHOEFFEL, PABLO"
"Paolo Moser","MOSER, P.;MOSER, PAOLO"
"Paulo Roberto da Cunha","CUNHA, P. R.;CUNHA, PAULO ROBERTO DA;DA CUNHA, P. R."
"Paulo Roberto Farah","FARAH, P. R.;FARAH, PAULO ROBERTO;ROBERTO FARAH, PAULO"
"Priscila Natasha Kinas","KINAS, P. N."
"Rafael Pacheco dos Santos","SANTOS, R. P."
"Rodrigo Rengel","RENGEL, R.;RENGEL, RODRIGO"
"Rogério Simões","SIMÕES, R.;SIMÕES, ROGÉRIO"
"Sergio Marian","MARIAN, S."
"Thiane Pereira Poncetta Coliboro","COLIBORO, T. P. P."
"Tiago José Belli","BELLI, TIAGO JOSÉ;BELLI, T.J.;BELLI, T. J.;JOSÉ BELLI, TIAGO"
"Valkyrie Vieira Fabre","FABRE, Valkyrie Vieira;FABRE, V. V."
"Vanderlei dos Santos","SANTOS, Vanderlei;SANTOS, Vanderlei dos;DOS SANTOS, VANDERLEI"
