"AutorPrincipal","ListaCitacoes"
"Caroline Sulzbach Pletsch","PLETSCH, C. S.;PLETSCH, CAROLINE SULZBACH;PLETSCH, C.S.;PLETSCH, CAROLINE"
"Diego Rafael Stüpp","STÜPP, D. R.;STÜPP, DIEGO RAFAEL;STUPP, DIEGO RAFAEL"
"Dinorá Baldo de Faveri","BALDO, D.;BALDO, DINORA;FAVERI, DINORÁ BALDO DE;FAVERI, DINORA;FAVERI, D;DE FAVERI, D;FAVERI, DINORÁ DE;DE FAVERI, DINORÁ;DE FAVERI, DINORÁ BALDO"
"Fernando Scheeffer","SCHEEFFER, F.;SCHEEFFER, FERNANDO"
"Ilda Valentim","VALENTIM, I.;VALENTIM, Ilda"
"Lara Fabiana Dallabona","DALLABONA, L. F.;DALLABONA, LARA FABIANA"
"Marilei Kroetz","KROETZ, M."
"Marines Lucia Boff","BOFF, Marines Lucia.;BOFF, MARINES LUCIA"
"Marino Luiz Eyerkaufer","EYERKAUFER, M. L.;EYERKAUFER, MARINO LUIZ"
"Paulo Roberto da Cunha","CUNHA, P. R.;CUNHA, PAULO ROBERTO DA;DA CUNHA, P. R."
"Rodrigo Rengel","RENGEL, R. ;RENGEL, RODRIGO"
"Sergio Marian","MARIAN, S."
"Valkyrie Vieira Fabre","FABRE, Valkyrie Vieira;FABRE, V. V."
"Vanderlei dos Santos","SANTOS, Vanderlei;SANTOS, Vanderlei dos;DOS SANTOS, VANDERLEI"
