"AutorPrincipal","ListaCitacoes"
"Adilson Vahldick","VAHLDICK, A.;VAHLDICK, ADILSON"
"Carlos Alberto Barth","BARTH, Carlos Alberto"
"Fernando dos Santos","SANTOS, F. dos;dos SANTOS, F.;SANTOS, F.;SANTOS, FERNANDO"
"Geraldo Menegazzo Varela","VARELA, G. M.;VARELA, GERALDO"
"Jaison Ademir Sevegnani","SEVEGNANI, J. A."
"Marcelo de Souza","SOUZA, M.;DE SOUZA, M.;SOUZA, M. de;DE SOUZA, MARCELO;SOUZA, MARCELO DE;SOUZA, MARCELO;SOUZA, Marcelo;SOUZA, Marcelo de;DE SOUZA, Marcelo;SOUZA, M. DE"
"Márcio José Mantau","MANTAU, M. J.;MANTAU, MARCIO JOSÉ;MANTAU, MARCIO JOSE;MANTAU, MÁRCIO J.;MANTAU, MÁRCIO J;MANTAU, MÁRCIO JOSÉ"
"Marília Guterres Ferreira","FERREIRA, M. G.;FERREIRA, MARILIA GUTERRES;FERREIRA, MARÍLIA GUTERRES"
"Mattheus da Hora França","FRANÇA, M. H.;FRANÇA, MATHEUS DA HORA"
"Osvaldo André Furlaneto Rodrigues","RODRIGUES, O. A. F."
"Pablo Schoeffel","SCHOEFFEL, P.;SCHOEFFEL, PABLO"
"Paolo Moser","MOSER, P.;MOSER, PAOLO"
"Paulo Roberto Farah","FARAH, P. R.;FARAH, PAULO ROBERTO;ROBERTO FARAH, PAULO"
