"AutorPrincipal","ListaCitacoes"
"Angela Maria Blatt Ortiga","ORTIGA,A.M.B;ORTIGA, ÂNGELA MARIA BLATT;ORTIGA, ANGELA MARIA BLATT"
"Eduardo Müller dos Santos","MÜLLER DOS SANTOS, E.;E.M. dos Santos;DOS SANTOS, EDUARDO M.     "
"Gabriele Vanessa Tschöke","TSCHOKE, G. V.;TSCHÖKE, GABRIELE VANESSA"
"Helenne Jungblut Geissler"," GEISSLER, H. J.; GEISSLER, H. J"
"João Marcos Bosi Mendonça de Moura","MENDONÇA DE MOURA, J. M. B.;MOURA, J. M. B. M.;MOURA, J.M.B.M.;BOSI MENDONÇA DE MOURA, JOÃO MARCOS"
"Luciano André Deitos Koslowski","KOSLOWSKI, L. A. D.;KOSLOWSKI, LUCIANO ANDRÉ DEITOS;KOSLOWSKI, L. A. D;KOSLOWSKI, LUCIANO ANDRÉ;KOSLOWSKI L, L. A. D.;DEITOS KOSLOWSKI, LUCIANO ANDRÉ;KOSLOWSKI, LUCIANO ANDRE DEITOS"
"Michael Renê Mix Visintainer","VISINTAINER, M. R. M.;VISINTAINER, MICHAEL RENÊ MIX"
"Priscila Natasha Kinas","KINAS, P. N."
"Rafael Pacheco dos Santos","SANTOS, R. P."
"Rogério Simões","SIMÕES, R.;SIMÕES, ROGÉRIO"
"Thiane Pereira Poncetta Coliboro","COLIBORO, T. P. P."
"Tiago José Belli","BELLI, TIAGO JOSÉ;BELLI, T.J.;BELLI, T. J.;JOSÉ BELLI, TIAGO"
