"Tipo","AutorPrincipal","Ano","URLDOI","Título","Periódico/Conferêncial","Coautores"
"artigoEmPeriodico","Adilson Vahldick","2013","http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=null&md5=f8a2d9f8af7e0fb17f9968fbbee28b49","Mapeamento de Sequenciamento e Navegação de Pacotes SCORM para o Componente Tarefas de Aprendizado do Modelo 4C/ID. RENOTE","Revista Novas Tecnologias na Educação","SCHWARZROCK, J. ; VAHLDICK, A."
"artigoEmPeriodico","Adilson Vahldick","2013","http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=null&md5=f8a2d9f8af7e0fb17f9968fbbee28b49","Execução de Objetos de Aprendizagem SCORM no Facebook. RENOTE","Revista Novas Tecnologias na Educação","LAICHT, G. ; VAHLDICK, A."
"artigoEmPeriodico","Adilson Vahldick","2013","","Auxiliando a Alfabetização com Objetos de Aprendizagem. REAVI","Revista Eletrônica do Alto Vale do Itajaí","SANTOS, C. ; VAHLDICK, A. ; JAEGER, E. V."
"artigoEmPeriodico","Adilson Vahldick","2013","","FormBuilder: Framework para geração automática de telas PrimeFaces com base em anotações. REAVI","Revista Eletrônica do Alto Vale do Itajaí","LOHN, S. ; VAHLDICK, A."
"artigoEmPeriodico","Adilson Vahldick","2013","","Inteligência Artificial Aplicada na Engenharia de Software. REAVI","Revista Eletrônica do Alto Vale do Itajaí","STAHNKE, E. ; VAHLDICK, A."
"artigoEmPeriodico","Adilson Vahldick","2012","","Comparativo entre Frameworks de JSF: Apache Tobago, PrimeFaces e RichFaces","REAVI - Revista Eletrônica do Alto Vale do Itajaí","CARMISINI, A. ; VAHLDICK, A."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2014","http://dx.doi.org/10.1109/FIE.2014.7044114","A review of games designed to improve introductory computer programming competencies","2014 IEEE Frontiers in Education Conference (FIE)","VAHLDICK, ADILSON; MENDES, ANTONIO JOSE ; MARCELINO, MARIA JOSE"
"trabalhoCompletoEmCongresso","Adilson Vahldick","2014","http://dx.doi.org/10.1109/BRACIS.2014.62","FuzzyStudio: A Web Tool for Modeling and Simulation of Fuzzy Systems","2014 Brazilian Conference on Intelligent Systems (BRACIS)","SOUZA, MARCELO DE ; SANTOS, FERNANDO DOS ; SOTO, ADOLFO RODRIGUEZ DE ; VAHLDICK, ADILSON"
"trabalhoCompletoEmCongresso","Adilson Vahldick","2013","","Gerenciamento Agrícola com Suporte à Mobilidade: uma ferramenta móvel para automatizar cálculos de plantio","IX Congresso Brasileiro de Agroinformática","MANTAU, M. J. ; BERKENBROCK, C.D.M. ; VAHLDICK, A. ; EYERKAUFER, M. L."
"trabalhoCompletoEmCongresso","Adilson Vahldick","2012","","Metodologia para Construção de Objetos de Aprendizagem Interativos","Congresso Brasileiro de Informática na Educação","KEMCZINSKI, A. ; COSTA, I.A. ; HOUNSELL, M.S. ; WEHRMEISTER, M. ; VAHLDICK, A."
