Vértices (Autores):
"Adilson Vahldick": 67 publicações
"Carlos Alberto Barth": 2 publicações
"Caroline Sulzbach Pletsch": 83 publicações
"Diego Rafael Stüpp": 22 publicações
"Dinorá Baldo de Faveri": 45 publicações
"Fernando dos Santos": 32 publicações
"Fernando Scheeffer": 28 publicações
"Geraldo Menegazzo Varela": 1 publicações
"Ilda Valentim": 16 publicações
"João Marcos Bosi Mendonça de Moura": 26 publicações
"Lara Fabiana Dallabona": 152 publicações
"Luciano André Deitos Koslowski": 122 publicações
"Marcelo de Souza": 25 publicações
"Márcio José Mantau": 17 publicações
"Marilei Kroetz": 52 publicações
"Marília Guterres Ferreira": 12 publicações
"Marines Lucia Boff": 80 publicações
"Marino Luiz Eyerkaufer": 77 publicações
"Pablo Schoeffel": 26 publicações
"Paolo Moser": 13 publicações
"Paulo Roberto da Cunha": 315 publicações
"Paulo Roberto Farah": 22 publicações
"Rodrigo Rengel": 81 publicações
"Rogério Simões": 12 publicações
"Sergio Marian": 26 publicações
"Valkyrie Vieira Fabre": 92 publicações
"Vanderlei dos Santos": 127 publicações

Arestas (Coautoria) e Pesos:
"Adilson Vahldick" - "Marcelo de Souza": 11 coautorias
"Adilson Vahldick" - "Marília Guterres Ferreira": 7 coautorias
"Adilson Vahldick" - "Pablo Schoeffel": 12 coautorias
"Adilson Vahldick" - "Paulo Roberto Farah": 4 coautorias
"Adilson Vahldick" - "Fernando dos Santos": 3 coautorias
"Carlos Alberto Barth" - "Fernando dos Santos": 1 coautorias
"Caroline Sulzbach Pletsch" - "Lara Fabiana Dallabona": 8 coautorias
"Caroline Sulzbach Pletsch" - "Paulo Roberto da Cunha": 4 coautorias
"Caroline Sulzbach Pletsch" - "Marines Lucia Boff": 1 coautorias
"Diego Rafael Stüpp" - "Valkyrie Vieira Fabre": 4 coautorias
"Diego Rafael Stüpp" - "Dinorá Baldo de Faveri": 2 coautorias
"Dinorá Baldo de Faveri" - "Ilda Valentim": 2 coautorias
"Dinorá Baldo de Faveri" - "Lara Fabiana Dallabona": 2 coautorias
"Dinorá Baldo de Faveri" - "Marilei Kroetz": 4 coautorias
"Dinorá Baldo de Faveri" - "Fernando Scheeffer": 2 coautorias
"Dinorá Baldo de Faveri" - "Paulo Roberto da Cunha": 5 coautorias
"Dinorá Baldo de Faveri" - "Vanderlei dos Santos": 3 coautorias
"Fernando dos Santos" - "Marcelo de Souza": 1 coautorias
"Fernando dos Santos" - "Márcio José Mantau": 1 coautorias
"Fernando Scheeffer" - "Valkyrie Vieira Fabre": 6 coautorias
"Fernando Scheeffer" - "Lara Fabiana Dallabona": 4 coautorias
"Fernando Scheeffer" - "Marilei Kroetz": 2 coautorias
"Geraldo Menegazzo Varela" - "Pablo Schoeffel": 2 coautorias
"Geraldo Menegazzo Varela" - "Paolo Moser": 1 coautorias
"Ilda Valentim" - "Lara Fabiana Dallabona": 1 coautorias
"Ilda Valentim" - "Marilei Kroetz": 2 coautorias
"Ilda Valentim" - "Vanderlei dos Santos": 1 coautorias
"João Marcos Bosi Mendonça de Moura" - "Rogério Simões": 1 coautorias
"Lara Fabiana Dallabona" - "Valkyrie Vieira Fabre": 12 coautorias
"Lara Fabiana Dallabona" - "Marilei Kroetz": 12 coautorias
"Lara Fabiana Dallabona" - "Paulo Roberto da Cunha": 3 coautorias
"Lara Fabiana Dallabona" - "Marino Luiz Eyerkaufer": 1 coautorias
"Lara Fabiana Dallabona" - "Vanderlei dos Santos": 1 coautorias
"Luciano André Deitos Koslowski" - "Sergio Marian": 1 coautorias
"Marcelo de Souza" - "Marília Guterres Ferreira": 2 coautorias
"Marcelo de Souza" - "Pablo Schoeffel": 8 coautorias
"Marilei Kroetz" - "Valkyrie Vieira Fabre": 6 coautorias
"Marilei Kroetz" - "Marines Lucia Boff": 1 coautorias
"Marília Guterres Ferreira" - "Pablo Schoeffel": 4 coautorias
"Marines Lucia Boff" - "Paulo Roberto da Cunha": 4 coautorias
"Marines Lucia Boff" - "Marino Luiz Eyerkaufer": 3 coautorias
"Marino Luiz Eyerkaufer" - "Rodrigo Rengel": 12 coautorias
"Marino Luiz Eyerkaufer" - "Paolo Moser": 1 coautorias
"Marino Luiz Eyerkaufer" - "Valkyrie Vieira Fabre": 7 coautorias
"Marino Luiz Eyerkaufer" - "Sergio Marian": 1 coautorias
"Pablo Schoeffel" - "Paolo Moser": 2 coautorias
"Paolo Moser" - "Valkyrie Vieira Fabre": 1 coautorias
"Paulo Roberto da Cunha" - "Vanderlei dos Santos": 16 coautorias
"Sergio Marian" - "Valkyrie Vieira Fabre": 1 coautorias
