"Tipo","AutorPrincipal","Ano","URLDOI","Título","Periódico/Conferêncial","Coautores"
"artigoEmPeriodico","Adilson Vahldick","2024","http://dx.doi.org/10.36558/rsc.v14i1.8708","Avaliação da Carga de Trabalho da Análise Imersiva com Gráficos de Dispersão","REVISTA DE SISTEMAS E COMPUTAÇÃO - RSC","VAHLDICK, A.; AGUSTINI, A."
"artigoEmPeriodico","Adilson Vahldick","2023","http://dx.doi.org/10.55905/oelv21n10-132","BoxFactory: um jogo sério para educação empreendedora no ensino fundamental II","OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA","VAHLDICK, ADILSON; ALBERTON, LUCAS WATERKEMPER ; DE SOUZA, MARCELO"
"artigoEmPeriodico","Adilson Vahldick","2023","http://dx.doi.org/10.55905/revconv.16n.12-134","Practicing requirements elicitation in a serious game: comparison between non-immersive and immersive virtual reality","CONTRIBUCIONES A LAS CIENCIAS SOCIALES","VAHLDICK, ADILSON; KUSTER, LUIS FELIPE ; DOS SANTOS, ANA FÁBIA COELHO ; DE ANDRADE, GUSTAVO VARGAS ; CARDOSO, JOÃO MARCUS ; FERREIRA, MARÍLIA GUTERRES ; SCHOEFFEL, PABLO ; DE SOUZA, MARCELO"
"artigoEmPeriodico","Adilson Vahldick","2023","http://dx.doi.org/10.5965/2357724X112023e0125","Um jogo educacional como ferramenta de apoio à prevenção da violência sexual infantil","BOLETIM ONLINE DE EDUCAÇÃO MATEMÁTICA","FAVA, A. M. ; LLORENTE, J. ; VAHLDICK, A. ; BERKENBROCK, C.D.M."
"artigoEmPeriodico","Adilson Vahldick","2022","http://dx.doi.org/10.31512/encitec.v12i2.663","UM JOGO SÉRIO EM DISPOSITIVOS MÓVEIS PARA O APRENDIZADO DE FÍSICA UTILIZANDO REALIDADE AUMENTADA","ENSINO DE CIÊNCIAS E TECNOLOGIA EM REVISTA","VAHLDICK, ADILSON; VIEIRA, VINICIUS TOMÉ"
"artigoEmPeriodico","Adilson Vahldick","2022","http://dx.doi.org/10.31512/encitec.v12i3.895","UM JOGO COM REALIDADE AUMENTADA PARA A APRENDIZAGEM DA ISOMERIA.","ENSINO DE CIÊNCIAS E TECNOLOGIA EM REVISTA","VAHLDICK, ADILSON; HEINEN, ADROAN COVARI"
"artigoEmPeriodico","Adilson Vahldick","2022","http://dx.doi.org/10.22456/1679-1916.129162","Desenvolvimento e Avaliação de um Jogo para Prevenção da Violência Sexual Infantil. RENOTE","REVISTA NOVAS TECNOLOGIAS NA EDUCAÇÃO","MENDONÇA FAVA, ALEXANDRE ; DIACUI MEDEIROS BERKENBROCK, CARLA ; VAHLDICK, ADILSON ; FUCK, ANDRÉ FELIPE"
"artigoEmPeriodico","Adilson Vahldick","2021","http://dx.doi.org/10.5335/rbca.v13i1.10894","Avaliação e remodelagem de um jogo sério para prevenção do abuso sexual infantil","REVISTA BRASILEIRA DE COMPUTAÇÃO APLICADA","FAVA, A. M. ; BERKENBROCK, C.D.M. ; VAHLDICK, A."
"artigoEmPeriodico","Adilson Vahldick","2021","","Um mapeamento sistemático sobre o uso de tecnologias digitais na Educação Infantil","RESEARCH, SOCIETY AND DEVELOPMENT","SANTOS, D. M. ; BARBIERI, J. A. B. ; SANTOS, C. J. ; VAHLDICK, A."
"artigoEmPeriodico","Adilson Vahldick","2021","http://dx.doi.org/10.5753/rbie.2021.2069","Analyzing novices' fun and programming behaviours while playing a serious blocks-based game","REVISTA BRASILEIRA DE INFORMÁTICA NA EDUCAÇÃO","VAHLDICK, ADILSON; MARCELINO, MARIA JOSÉ ; MENDES, ANTÓNIO JOSÉ"
